id,date,title,summary
4231224,2019-01-03,Investing Beyond Flash And DRAM,"Micron is exercising its 2019 option to purchase Intel's half of IMFT. Intel is attempting to cloud the transaction with a lawsuit against an ex-employee who """"secretly"""" accepted a job at Micron. Flash and DRAM are now meaningless for Micron investors."
4231781,2019-01-07,Intel Aims For AI Throne With New Architecture,Intel is working on a new architecture that will transform the mainstream computing landscape. The new architecture will initially not be a replacement but an addition to the existing architectures. Multiple long-term undertakings make Intel an excellent long-term investment.
4231727,2019-01-07,Intel Call Premium Exceeds Annual Dividend,
4232403,2019-01-09,Intel: Time For Major Decision,"Six months later, still no CEO announcement. Growth expected to slow considerably in 2019. Where's the company going next?"
4232321,2019-01-09,Intel Hiring Practices Offers A Glimpse At Stock Price Direction,"Intel’s stock price can be correlated to its job openings. The stock price increases or decreases in sync with hiring activity. Intel has outperformed the Dow Jones Industrial Average after an increase in hiring activity. Intel has underperformed the Dow Jones Industrial Average after a decrease in hiring activity. During the fourth quarter of 2018, hiring activity increased and would portend an improved stock performance in the first quarter of 2019."
4233190,2019-01-14,What Should I Do With My Intel Shares?,
4233471,2019-01-15,Boost Your Intel Return Using Covered Calls,
4234862,2019-01-22,Intel's Earnings Report: What To Expect?,"The expectations for Intel are EPS of $ 1.22 on revenue of $19.01 billion. Those numbers represent year-over-year growth of 13% for EPS and 11.5% for revenues. On the other hand, other analysts are bearish on the company's earnings prospects. This has resulted in decreasing earnings EPS of 1.11%."
4234849,2019-01-22,What Can Investors Anticipate From Intel's Results?,"Intel will announce Q4 2018 and FY 2018 results on Thursday. Results will generally be in line, but we expect a more negative outlook due to an industry-wide slowdown. China's growth, smartphone sales, trade war, etc., are all contributing downside factors. However, Intel's dominant market position should imply less impact relative to its peers. Intel remains attractive relative to its peers, but an industry-wide slowdown poses significant uncertainty."
4234720,2019-01-22,Intel's Stock May Jump After Results,"Intel is seeing bullish options betting heading into results. The technical chart suggests a breakout is near. The stock's valuation is among the cheapest in the group, despite strong margins."
4235490,2019-01-24,Intel Swings And Misses,Q4 results were rather mixed. No new CEO announced. 2019 guidance well short of expectations. Dividend raise seems a bit light.
4235866,2019-01-27,"Intel: Not Necessarily Appealing, Amidst No More Growth","Intel has seen a real growth slowdown driven by market forces, but perhaps poor execution as well. Earnings multiples remain very compelling, but cash flow conversion is another issue. I believe that Intel is lagging in terms of development which makes me cautious given the cash flow multiples, as this remains a strong point in the cycle."
4236022,2019-01-28,Is 2019 Uncertainty Good For Intel Investors?,Intel stock fell after weaker than expected fourth quarter revenue. The outlook for 2019 reflects the weak fourth quarter with full year revenue up 1% and Non-GAAP EPS up 0.5%. Intel has excellent prospects for growth in 2020 and beyond and a P/E of 10. It is a strong buy.
4236016,2019-01-28,Intel: Buy Or Sell?,Intel sank 6 percent on extreme volume. Friday's drop was due to unfavorable guidance revision. Was the drop overdone?
4236316,2019-01-29,Intel: Is The Market Too Pessimistic?,
4236312,2019-01-29,Intel: Buy For Solid Financials Despite A Bumpy Year Ahead,"Intel reported Q4 financial results, beating on EPS but missing on revenue. The stock plummeted 5% the next trading day on cautious guidance. Although the revenue miss is a negative event for INTC, the actual numbers are not as bad as they appear. Revenue increased 9.4%, while EPS grew 18% in the quarter. Intel's performance demonstrates strong financial efficiency standards during difficult times, which is the primary reason to own the stock at the moment. Although the competition continues to be stiff, Intel stock provides a solid margin of safety, with almost 3% dividend yield, 10 forward P/E, and impressive revenue and EPS growth."
4237083,2019-01-31,Intel: Any Epyc Impact?,"Ryzen and Epyc chips have been out for some time, and even newer versions have been released. AMD is doing nicely, but not crushing Intel. Intel put in another good quarter in a great year. At the current market price, based on the latest dividend increase, dividend growth investors might want to wait for a price drop."
4237017,2019-01-31,Should Intel Buy Mellanox?,"Some media reported Intel offered to buy Mellanox for $6 billion. The deal partly makes sense from an operational perspective but there are regulatory risks. The offer represents a premium to the historical valuation of Mellanox. But considering the growth potential, the offer is not so generous."
4237747,2019-02-03,Is Intel A Long Term Buy?,"Intel saw its shares sells off after disappointing guidance. For investors focused on the long term, Intel may offer value. The company should be a continued beneficiary of the growing number of devices powered by its chips."
4239881,2019-02-11,Intel - Buy An R&D Powerhouse,Intel is trading at an attractive discount thanks to the market’s overreaction to near term headwinds which ignores a multitude of longer term positive catalysts. Intel is also a rare income play in the technology sector which now offers a 2.46% dividend yield which beats the S&P’s 2% yield. The company has proven its ability to enter emerging markets offering the highest growth rates and largest addressable markets in the technology space.
4241125,2019-02-14,Intel: From PCs To Data,"We see Intel's multi-year turnaround story making great progress. We see strong revenue growth. We see the strategic allocation of capital to R&D, manufacturing, and acquisitions."
4242878,2019-02-21,Here's Why Intel's Bull Run Isn't Over,Intel options have seen some bullish bets placed in recent days. The technical chart signals a breakout is on the horizon. The stock hasn't gotten cheaper vs. its peers.
4244225,2019-02-26,Intel's Intrinsic Price Is Between $25 To $36 Using Free Cash Flow Analysis,"Intel's 2018 revenue is about $71 billion and is forecasted to grow to $104.5 billion in 2028 with a CAGR of 3.9%. Intel's revenue structure mainly consists of Client Computing Group ($37B, 52%), Data Center Group ($23B, 32%), IoT Group ($3.5B, 5%), Non-volatile Memory Solution Group ($4.3B, 6%) and Programmable Solutions. Due to slow growth/decline in the PC market, I expect Intel's major revenue growth would come from Data Center Group, IoT Group, and Non-volatile Memory solutions group; however, growth rates."
4245241,2019-02-28,Buy Intel On The Coming Pullback,
4245165,2019-02-28,Intel Long-Term Target Prices,"Intel’s 4Q earnings announcement (ER) is just like any other tech firm’s 4Q - a missed 4Q ER, a downside 1Q guidance, but a better 2H 2019. What's new is that Intel’s new hire of its first non-engineering CEO Robert Swan signals an important company’s strategic shift to financial focus. As a result, Street analysts have been very optimistic about Intel’s future margin, capex, and free cash flow. Intel has transitioned into a data-centric company from a PC company to combat AMD’s low-price assault on data center market share, including """"buying companies to bulk up on IP or eliminate the competition."""" Using analysts’ long-term forecasts, Intel’s longer-term stock price path can be sketched out to hit around $60 one year out or 20% by 2021."
4245672,2019-03-01,Intel Has A Marvelous Tailwind From Foveros,"The new products unveiled at MWC 2019 Barcelona event justified why I remained long INTC. Intel’s Foveros 3D Stacking technology-enabled 10-nanometer Lakefield System-on-Chip has fabulous long-term commercial potential. The proprietary Foveros chip design IP is a marvelous tailwind for Intel's $60 billion/year desktop & server semiconductor business. The hybrid x86 3D stacking semiconductor design will persuade Apple to keep using Intel processors for its Mac computer products. 3D stacked processors has future applications in smart devices, robotics, and self-driving cars."
4246954,2019-03-07,A Look At Intel's Prospects In 2019,Intel finally appointed a new CEO. The options for the stock are bullish. The fundamental suggest the stock is cheap.
4247790,2019-03-11,Intel Vs. AMD: Battle For Market Share,"2018 was a great year for both Intel and AMD, particularly in the CPU market. AMD's top-line increased 23% as they gained market share from Intel, while Intel themselves managed a 13% revenue increase by inflating their CPU prices on the market. My forecast of the CPU market share between these two rivals for the next 4 years indicates their monopoly of the market may be ending. I identified a significant threat to the traditional x86 CPU market in the rise of ARM-based processors which are rapidly creeping into the market."
4250546,2019-03-22,Should Intel Worry About AMD?,"Revenue growth and market share are two important metrics to affect Intel and AMD stock prices in a different fashion. For a smaller AMD, its stock price is more responsive to market share changes. Yet, the larger Intel is more sensitive to total revenue growth. AMD shares have gained over 100% in 2018 mainly due to market share gain over Intel, while Intel shares gained from its total revenue growth, despite market share loss. Intel can afford to lose 10% market share to AMD for every 1% increase in its total revenue growth without affecting Intel stock price. While AMD looks to increase its market share in the next two years, Intel stock price is not threatened as long as its revenue has any positive growth outlook."
4252154,2019-04-01,Determining Market Capitalization With Extreme Consistency And Accuracy,"Short Levi Strauss. Its longer-term valuation is between $9.82 and $10.11. Buy and hold Intel. It has the potential to reach a revenue $118B from the current $77B. Sell Qualcomm as it is the most leveraged by far in its sector. This is a powerful tool for IPO, M&A, Angel, VC managers and investors to value share price before and after IPOs."
4253082,2019-04-05,Micron And Intel: Fishy?,
4253172,2019-04-07,In Case Intel's Share Price Collapses,"Although Intel has outpaced the market since December's low, Wells Fargo downgraded Intel to """"market perform"""" on Friday, citing valuation concerns and competition from AMD. My site is still moderately bullish on Intel, but I present two ways of hedging it for longs who want to add downside protection here. I note that the second hedge has an upside cap which is higher than Wells Fargo's new price target for Intel."
4253415,2019-04-08,Intel Helps Drive Data Center Advancements,"It's clear Intel is now thinking about more comprehensive sets of solutions for data centers, CSPs, and other institutions with high-performance computing demands. It's a bit surprising it took the company as long as it did to start telling these more all-encompassing stories, but there's little doubt it will be a key focus over the next several years. CPUs will continue to be important, but the reinvention of computing, memory, and storage architectures will yield some of the most interesting developments to come."
4253808,2019-04-10,Intel: Still Leading The Way,
4254550,2019-04-15,Process Technology Is Key If History Is About To Repeat Itself With Intel Vs. AMD,
